Species,Oral_ratio
RP,0.9258
RP,0.1969
RP,0.3869
RP,0
RP,0.3983
RP,0.1094
RP,0.1909
RP,0.7955
RP,0.9483
RP,0.3224
RP,0
RP,0.2737
RP,0.9839
RP,0.0602
RP,0.4174
RP,0.1981
RP,1
RP,0.7914
RP,0.5752
RP,0.6254
RP,0.5064
RP,0.2906
RP,0.6943
RP,0.8497
RP,0.4379
RP,0
RP,0.9616
RP,0.9534
RP,0.1965
RP,0.1074
RP,0.6188
GP,0.3558
GP,0
GP,0.3198
GP,0.2026
GP,0.6505
GP,0.5843
GP,0.4241
GP,0.7237
GP,0
GP,0.3172
GP,0.1697
GP,0
GP,0
GP,0.2069
GP,0
GP,0
GP,0
GP,0.9301
GP,0.0737
GP,0
GP,0
GP,0
GP,0
GP,0
GP,0.1469
GP,0.7397
MD,0.086
MD,0.2032
MD,0.1563
MD,0.0595
MD,0.0899
MD,0.0034
MD,0.1672
MD,0.0284
MD,0.001
MD,0.2781
MD,0.3485
MD,0.0078
MD,0.2615
MD,0.1474
MD,0.049
MD,0.0018
MD,0.0451
MD,0.0036
MD,9.00E-04
MD,0.0954
MD,0.0867
MD,0.1031
MD,0.0565
MD,0.0189
MD,0.2109
MD,3.00E-04
MD,0.0606
MD,0.1913
MD,0.1541
MD,0.0136
MD,0
MD,0.1316
MD,7.00E-04
MD,0.1199
MD,0.3122
MD,0.0594
MD,0.0239
MD,0.0107
MD,0
MD,0.1639
MD,0.0796
MD,0.0851
MD,0.0788
MD,0.0212
RB,0
RB,0
RB,0.2241
RB,6.00E-04
RB,0.0852
RB,2.00E-04
RB,0.0772
RB,0.1987
RB,0.1399
RB,0.0397
RB,0.0338
RB,0.0785
RB,0
RB,0.0944
RB,9.00E-04
RB,0.2208
RB,0
RB,0.0011
RB,0.2056
RB,0.0447
RB,0
RB,0.1713
RB,0.3253
RB,0
RB,0.0013
RB,0.2239
RB,0.0696
RB,0.023
RB,0.5903
RB,0
RB,0.1084
RB,0
